flag_yellow_count,flag_double_yellow_count,flag_red_count,flag_clear_count,safety_car_deployments,virtual_safety_car_deployments,race_id,session,total_sc_laps,total_vsc_laps
3,1,1,4,1,0,99,Race,0.0,0.0
5,2,2,7,0,0,101,FP1,,
2,0,2,4,0,0,101,FP2,,
3,3,0,6,0,0,101,FP3,,
1,0,0,2,0,0,101,Qualifying,,
1,1,0,3,0,1,101,Race,0.0,2.0
4,0,1,6,0,0,86,FP1,,
7,3,2,12,0,0,86,FP2,,
3,3,1,7,0,0,86,FP3,,
0,0,0,0,0,0,86,Qualifying,,
4,2,0,9,1,1,86,Race,6.0,0.0
7,0,1,8,0,0,88,FP1,,
4,2,1,8,0,0,88,FP2,,
3,0,0,4,0,0,88,FP3,,
2,3,2,7,0,0,88,Qualifying,,
11,4,2,26,1,1,88,Race,0.0,0.0
2,1,1,4,0,1,96,FP1,,
2,1,1,3,0,0,96,FP2,,
1,0,0,2,0,0,96,FP3,,
4,1,1,4,0,0,96,Qualifying,,
9,1,0,11,1,1,96,Race,5.0,3.0
1,1,1,3,0,0,83,FP1,,
5,5,0,9,0,1,83,FP2,,
0,6,0,4,0,0,83,FP3,,
1,5,2,7,0,0,83,Qualifying,,
2,7,0,11,1,2,83,Race,5.0,26.0
9,0,1,9,0,0,98,FP1,,
7,1,0,7,0,0,98,FP2,,
7,26,0,26,0,0,98,FP3,,
5,2,0,6,0,0,98,Qualifying,,
10,20,0,29,2,3,98,Race,7.0,7.0
1,0,0,1,0,0,87,FP1,,
1,0,0,2,0,1,87,FP2,,
0,0,0,0,0,0,87,FP3,,
0,0,0,0,0,0,87,Qualifying,,
6,1,0,7,0,0,87,Race,0.0,0.0
1,1,1,3,0,0,100,FP1,,
0,0,0,0,0,0,100,FP2,,
0,0,0,0,0,0,100,FP3,,
0,0,0,2,0,0,100,Qualifying,,
6,4,0,8,2,0,100,Race,8.0,0.0
0,2,0,3,0,1,125,FP1,,
1,2,2,4,0,0,125,FP2,,
0,1,0,1,0,0,125,FP3,,
0,0,0,0,0,0,125,Qualifying,,
0,1,0,1,0,0,125,Race,0.0,0.0
6,4,2,8,0,0,106,FP1,,
4,2,0,22,0,1,106,FP2,,
5,1,1,11,0,0,106,FP3,,
9,6,1,15,0,0,106,Qualifying,,
8,4,4,18,3,1,106,Race,3.0,2.0
1,1,0,3,0,1,112,FP1,,
2,2,1,3,0,0,112,Qualifying,,
3,2,0,6,1,1,112,Race,3.0,3.0
16,5,1,22,0,1,107,FP1,,
8,6,2,14,0,0,107,Qualifying,,
7,5,0,11,1,0,107,Race,3.0,0.0
2,0,0,2,0,0,104,FP1,,
1,0,0,1,0,0,104,FP2,,
0,0,0,0,0,0,104,FP3,,
0,0,1,1,0,0,104,Qualifying,,
4,0,0,6,0,1,104,Race,0.0,2.0
10,6,1,19,0,0,115,FP1,,
13,24,0,33,0,0,115,Qualifying,,
4,5,0,11,0,0,115,Race,0.0,0.0
0,0,0,0,0,0,123,FP1,,
1,0,1,4,0,0,123,Qualifying,,
2,2,1,5,1,0,123,Race,0.0,0.0
2,1,1,2,0,0,111,FP1,,
6,2,2,14,0,0,111,FP2,,
3,0,1,4,0,0,111,FP3,,
9,1,2,14,0,0,111,Qualifying,,
7,2,0,10,1,1,111,Race,5.0,1.0
1,2,1,3,0,0,113,FP1,,
1,1,0,2,0,0,113,FP2,,
1,0,0,3,0,0,113,FP3,,
7,4,1,15,0,0,113,Qualifying,,
2,1,0,3,1,1,113,Race,6.0,0.0
7,4,3,16,0,0,114,FP1,,
1,1,0,3,0,1,114,FP2,,
0,1,0,1,0,0,114,FP3,,
0,0,0,0,0,0,114,Qualifying,,
1,2,0,3,0,0,114,Race,0.0,0.0
0,0,0,1,1,1,117,FP1,,
1,3,2,7,1,1,117,FP2,,
0,1,0,1,0,0,117,FP3,,
0,0,0,0,0,0,117,Qualifying,,
0,2,0,2,0,0,117,Race,0.0,0.0
0,0,0,0,0,0,119,FP1,,
2,1,2,8,1,0,119,FP2,,
0,0,1,1,0,0,119,FP3,,
1,1,1,2,0,0,119,Qualifying,,
3,5,0,12,1,1,119,Race,4.0,1.0
1,1,1,2,0,0,124,FP1,,
6,1,0,7,0,0,124,FP2,,
6,0,1,7,0,0,124,FP3,,
2,1,0,3,0,0,124,Qualifying,,
9,2,0,17,2,1,124,Race,7.0,2.0
1,0,0,1,0,0,122,FP1,,
0,1,0,7,0,0,122,FP2,,
4,3,0,7,0,0,122,FP3,,
2,0,0,2,0,0,122,Qualifying,,
10,7,1,24,1,1,122,Race,0.0,1.0
5,4,1,6,0,0,108,FP1,,
5,1,1,6,0,0,108,FP2,,
1,0,0,1,0,0,108,FP3,,
1,0,1,2,0,0,108,Qualifying,,
1,1,0,3,0,0,108,Race,0.0,0.0
3,4,2,6,0,0,109,FP1,,
4,2,1,7,0,1,109,FP2,,
6,1,1,7,0,1,109,FP3,,
0,6,1,7,0,0,109,Qualifying,,
16,10,0,26,0,0,109,Race,0.0,0.0
2,0,1,4,1,1,116,FP1,,
2,2,1,5,1,1,116,FP2,,
7,3,3,10,0,0,116,FP3,,
2,1,2,5,0,0,116,Qualifying,,
6,2,1,9,1,1,116,Race,6.0,0.0
0,0,0,1,0,0,120,FP1,,
0,0,0,0,0,0,120,Qualifying,,
3,0,0,4,1,0,120,Race,4.0,0.0
1,4,0,6,0,1,105,FP1,,
1,3,0,5,0,1,105,FP2,,
0,2,0,2,0,0,105,FP3,,
3,5,0,8,0,0,105,Qualifying,,
3,2,0,5,1,0,105,Race,3.0,0.0
3,1,0,5,0,0,118,FP1,,
0,3,0,2,0,0,118,FP2,,
