race_id,driver_id,team_id,stop_number,stop_lap,pits_time
92,111,8,2,35,21.206
92,94,3,2,36,21.444
92,83,11,2,39,22.278
92,110,2,2,40,21.731
92,104,13,2,40,27.610
92,87,10,2,41,22.088
92,109,8,2,41,22.122
92,115,10,2,43,22.880
92,108,4,2,43,27.324
92,101,15,2,44,22.109
92,79,4,2,44,21.889
92,60,14,2,44,21.583
92,117,11,2,46,28.860
92,114,13,2,46,21.519
92,106,1,2,49,21.319
92,103,14,2,48,21.952
92,93,1,2,50,21.492
92,57,2,2,51,22.697
92,12,15,2,57,21.827
92,106,1,3,58,21.650
92,94,3,3,58,21.319
92,12,15,3,58,24.252
93,87,10,1,8,36.779
93,115,10,1,9,36.704
93,117,11,1,9,36.444
93,114,13,1,11,37.648
93,94,3,1,16,35.266
93,57,2,1,18,37.189
93,75,3,1,18,38.061
93,110,2,1,18,38.277
93,12,15,1,18,36.524
93,108,4,1,18,37.539
93,101,15,1,18,44.747
93,93,1,1,18,41.458
93,79,4,1,18,36.264
93,103,14,1,18,39.844
93,109,8,1,18,37.380
93,104,13,1,18,35.969
93,83,11,1,18,37.855
93,87,10,2,18,36.403
93,115,10,2,18,37.003
93,60,14,1,19,36.671
93,111,8,1,19,37.497
93,117,11,2,22,50.790
93,83,11,2,36,36.520
93,111,8,2,38,36.942
93,93,1,2,42,42.292
94,109,8,1,2,31.224
94,87,10,1,6,29.641
94,114,13,1,13,21.577
94,108,4,1,14,23.567
94,103,14,1,14,21.779
94,79,4,1,15,21.558
94,60,14,1,15,21.402
94,110,2,1,16,22.763
94,94,3,1,16,21.351
94,104,13,1,16,21.675
94,93,1,1,17,22.820
94,75,3,1,18,21.118
94,111,8,1,18,21.865
94,57,2,1,19,21.699
94,106,1,1,21,21.775
94,12,15,1,21,22.083
94,115,10,1,21,22.953
94,109,8,2,21,21.816
94,101,15,1,23,23.581
94,83,11,1,26,22.272
94,117,11,1,27,22.321
94,114,13,2,33,22.016
94,87,10,2,35,23.210
94,94,3,2,38,21.228
94,106,1,2,39,21.972
94,110,2,2,39,21.743
94,111,8,2,39,22.452
94,109,8,3,40,24.298
94,115,10,2,41,22.566
94,75,3,2,42,21.167
94,108,4,2,42,21.855
94,79,4,2,46,21.521
