driver_name,driver_id,race_id,session,avg_pace_soft,std_pace_soft,laps_on_soft,deg_rate_soft,avg_pace_medium,std_pace_medium,laps_on_medium,deg_rate_medium,avg_pace_hard,std_pace_hard,laps_on_hard,deg_rate_hard,avg_pace_intermediate,std_pace_intermediate,laps_on_intermediate,deg_rate_intermediate,avg_pace_wet,std_pace_wet,laps_on_wet,deg_rate_wet
SAI,93.0,9,Race,70.16758823529413,0.7064576968995747,17,0.13033578431372553,,,0,,,,0,,,,0,,,,0,
SIR,107.0,9,Race,70.18816666666666,1.0345649031785709,30,0.013561594064328721,,,0,,,,0,,,,0,,,,0,
STR,103.0,9,Race,70.4830238095238,0.7358624835328964,42,-0.019725628445770006,,,0,,,,0,,,,0,,,,0,
VAN,100.0,9,Race,70.72308163265308,1.4093430491086285,49,-0.050636622787899925,,,0,,,,0,,,,0,,,,0,
VER,94.0,9,Race,68.31227659574468,0.4124347892815152,47,-0.021737922360384895,,,0,,,,0,,,,0,,,,0,
VET,60.0,9,Race,68.17489583333334,0.5428605652614414,48,-0.027648220831376726,,,0,,,,0,,,,0,,,,0,
ALO,12.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
BOT,83.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
ERI,89.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
GAS,104.0,4,FP1,114.959,0.0,1,,,,0,,,,0,,,,0,,,,0,
GRO,67.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAM,57.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
HAR,105.0,4,FP1,112.92316666666666,2.8811938738809117,6,-0.12276216216216061,,,0,,,,0,,,,0,,,,0,
HUL,70.0,4,FP1,109.578,2.585000000000001,2,,,,0,,,,0,,,,0,,,,0,
LEC,106.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
MAG,87.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
OCO,101.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
PER,75.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
RAI,6.0,4,FP1,,,0,,,,0,,,,0,,,,0,,,,0,
RIC,79.0,4,FP1,108.67750000000001,2.9808424843769705,6,-0.03699999999999964,,,0,,,,0,,,,0,,,,0,
SAI,93.0,4,FP1,111.72550000000001,0.2995000000000019,2,,,,0,,,,0,,,,0,,,,0,
